BuilderCompany;BuilderCompanyCode;BuilderObjectRu;BuildFinishDate;PDChangesBuildFinishDate
АО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ВОЛЖСКИЙ ПАРК;RDM_2664203705;г. Москва, ЮВАО, Текстильщики, 1-й Грайвороновский проезд, вл. 3, корпус 2.1;31.12.2022 0:00:00;
АО УПРАВЛЕНИЕ ЭКСПЕРИМЕНТАЛЬНОЙ ЗАСТРОЙКИ МИКРОРАЙОНОВ;RDM_0334720308;г.Москва, ЗАО, район Тропарево-Никулино, ул.Никулинская, мкр.2А, корпус 1;30.06.2021 0:00:00;31.12.2021 0:00:00
 ООО СЗ ДАРСТРОЙ - ЗАПАД;RDM_3129934901;Российская Федерация, Краснодарский край, городской округ город Краснодар, город Краснодар, ул. Конгрессная, з/у 41, дом Литер 2.2, 2 этап строительства, кадастровый номер земельного участка 23:43:0118001:6312 ;31.03.2023 0:00:00;30.06.2023 0:00:00
ООО СПЕЦЗАСТРОЙЩИК СК ПРОФИИНВЕСТ;RDM_2593292638;Московская область, Пушкинский район, г. Пушкино, Ярославское шоссе, вблизи дома № 165, кадастровый номер зем.участка 50:13:0070202:10544;31.12.2022 0:00:00;
ООО СЗ СТРОЙ-РЕСУРС;RDM_2788059739;Московская область, городской округ Красногорск, вблизи п. Светлые Горы, жилой дом поз. 18, кадастровый номер 50:11:0020218:1217;31.03.2023 0:00:00;
ООО СЗ РЕМСТРОЙСЕРВИС АЗБУКА;RDM_4014537359;Липецкая область, город Липецк, ул. Котовского, Октябрьский округ, кадастровый номер земельного участка 48:20:0045602:359;31.03.2023 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СОЛСТРОЙ;RDM_0445402908;Московская область, г. Солнечногорск, ул. Крупской, дом 1;30.09.2022 0:00:00;
АО МОСОТДЕЛСТРОЙ № 1;RDM_0230260727;г. Москва, ЮАО, ул. 6-я Радиальная, вл. 7, корпус 28/29;;31.05.2023 0:00:00
АО МОСОТДЕЛСТРОЙ № 1;RDM_0230260727;г. Москва, ЮАО, ул. 6-я Радиальная, вл. 7, корпус 27;;31.05.2023 0:00:00
АО СЗ Вектор Недвижимости;RDM_1095937111;Российская Федерация, Московская область, город Одинцово, улица Маковского, вл. 28;31.12.2022 0:00:00;31.03.2023 0:00:00
ООО Специализированный застройщик ЛС-Риэлти;05020;г. Москва, СВАО, Лосиноостровский район, ул. Тайнинская, вл. 9, корпус 1;31.12.2021 0:00:00;30.09.2022 0:00:00
АО БАЛАНС - СПЕЦЗАСТРОЙЩИК;RDM_3962451040;г.Москва, Рязанский проспект, вл.26, з/у 1, корпус 1;30.09.2021 0:00:00;30.06.2022 0:00:00
