BuilderCompany;BuilderCompanyCode;BuilderObjectRu;BuildFinishDate;PDChangesBuildFinishDate
ООО СЖК;RDM_2596748447;г. Новосибирск, Заельцовский район, по ул. Дачное шоссе, 20 (стр.), жилой дом №12 (по генплану), Блок Г;30.09.2023 0:00:00;
ООО КубаньГрадИнвестСтрой;RDM_3242487554;Российская Федерация, Краснодарский край, г.Краснодар, Прикубанский округ, ул. Заполярная, 39 — 9 этап строительства - Литер 9 ;30.06.2024 0:00:00;30.06.2024 0:00:00
ООО СЗ СИБЭКОСТРОЙ;RDM_4114145047;г. Новосибирск, Октябрьский район, улица Рябиновая, 1 этап строительства, дом № 1 (по генплану) ;30.06.2023 0:00:00;
ООО Алькасар;RDM_2100022553;Российская Федерация, Краснодарский край, г. Краснодар, ул. им. краеведа  Соловьева В.А., 6, литер  2;30.09.2022 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК АГРОСТРОЙИНВЕСТ;RDM_3924087385;"Республика Башкортостан, городской округ город Уфа, Демский район, восточнее озера ""Кустаревское"", жилой дом в квартале №6,  секция 3";31.12.2022 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГОЛОС.НОВЫЙ ГОРОД;RDM_2525805875;Челябинская область, р-н Сосновский, северо-восточнее п. Новый Кременкуль, I этап строительства – Многоквартирный жилой дом № 1 (стр.) секция В, Г, Д, Е, кадастровый номер земельного участка 74:19:1104001:822;31.03.2023 0:00:00;
ООО СЗ ННДК БЕКЕТОВА;RDM_2308302499; Нижегородская область, г. Нижний Новгород, ул. Пушкина (I этап строительства), кадастровый номер зем. участка 52:18:0070173:253;31.03.2024 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК АСТОН. СОБЫТИЕ (ИНН 6658540172);RDM_1736094969;Свердловская область, г. Екатеринбург, ул. Амундсена, д.7, жилая секция С2 (№1 по ПЗУ), кадастровый номер земельного участка: 66:41:0000000:181368;31.03.2023 0:00:00;30.06.2023 0:00:00
ООО Мурино 117;RDM_2433738728;"Ленинградская область, Всеволожский район, земли САОЗТ ""Ручьи"", кадастровый номер 47:07:0722001:532, корп.1";31.12.2022 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЗЕНИТ-ЛК;RDM_3999350668;Орловская область, Орловский район, Платоновское с/п, д. Коневка, жилой дом поз. 4;31.12.2023 0:00:00;
ООО СЗ-3 ЮСИ КУБАНЬ;00791;г. Краснодар, Прикубанский внутригородской округ, Литер 8, (8-й этап строительства), на земельном участке с кадастровым номером \n23:43:0118001:7716;30.09.2025 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ИКАР;RDM_3468813678;Челябинская область, город Челябинск, Советский район, ул. Военный городок 18, дом 4.1 (стр.);30.06.2022 0:00:00;
ООО СЗ СНАБЦЕНТР НН;RDM_2292899143; Нижегородская область, г. Нижний Новгород, Ленинский район, в границах  бульвара Заречный, улиц Баумана, Правдинская, затона имени 25 лет Октября, жилой дом №1 (по генплану), кадастровый номер земельного участка 52:18:0000000:13782;30.06.2024 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРАНДПАРК;RDM_3965045851;Новосибирская область,  г. Новосибирск, Ленинский район, Горский 2-й пер., з/у 14. Кадастровый номер: 54:35:064335:595;30.09.2022 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ИНВЕСТГРУПП;RDM_1623465187;Республика Башкортостан, городской округ город Уфа, Кировский район,  квартал ограниченный ул. З.Валиди, ул. Аксакова, ул. Пушкина, ул. Гоголя. Первая очередь строительства, квартал 563, уч. 2 (Дом), литер 2.3, кадастровый номер з/уч 02:55:010148:210;30.06.2022 0:00:00;31.12.2022 0:00:00
ООО СЗ МЕРИДИАН СТРОЙ;RDM_2924365615;Тюменская область, Тюменский муниципальный район, Московское МО, д. Патрушева, ул.  Александра Пушкина, д. 16, жилой дом 1 этап (ГП-1);30.06.2023 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ПАРКОВЫЙ ПРЕМИУМ;RDM_1524823583;Челябинская область, Сосновский муниципальный район, территория в 870 м юго-западнее пос. Терема, жилой дом № 52;31.12.2021 0:00:00;
ООО Специализированный застройщик АСК 6;RDM_1301378962;Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Питерская, д. 40, литер 6;31.12.2023 0:00:00;
ООО МЖК ЭНЕРГЕТИК. СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК;RDM_2389702473;Новосибирская область, г. Новосибирск, Первомайский район, улица Заречная, дом №5 (по генплану) - V этап строительства;30.06.2023 0:00:00;
АО СЗ ИСК Г. УФЫ;941;Республика Башкортостан, городской округ город Уфа, Ленинский район,  в квартале № 23 южной части жилого района «Затон-Восточный», ограниченной улицами Шмидта, Ахметова, автодорогой «Уфа-Затон», рекой Белой, жилой дом литер 8, кадастровый номер з/у 02:55:050234:804;31.12.2022 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ВКД-РАЗВИТИЕ;RDM_0088642498;Новосибирская область, город Новосибирск, Октябрьский район, ул. Кирова, 1 этап строительства, кадастровый номер земельного участка 54:35:073090:115;31.12.2023 0:00:00;
ООО СТРОИТЕЛЬНАЯ КОМПАНИЯ;RDM_0932624974;Саратовская обл., г. Саратов, в квартале ограниченном проспектом Строителей, ул. Академика Антонова О.К. и ул. Производственной, жилой дом № 1, кадастровые номера земельных участков 64:48:040415:175, 64:48:040415:177, 64:48:040415:178;31.03.2023 0:00:00;
ООО СЖК;RDM_2596748447;г. Новосибирск, Заельцовский район, ул. Дачное шоссе, 20 стр. жилой дом №12, блок Б;31.03.2022 0:00:00;
ООО Семья;04975;Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Красных Партизан, 1/4, 1 очередь, 10 этап, Литер 15;30.06.2023 0:00:00;
ООО СТРОИТЕЛЬНАЯ КОМПАНИЯ;RDM_0932624974;Саратовская обл., г. Саратов, в квартале ограниченном проспектом Строителей, ул. Академика Антонова О.К. и Производственной, жилой дом № 1, кадастровые номера земельных участков 64:48:040415:175, 64:48:040415:177, 64:48:040415:178;31.03.2023 0:00:00;
ООО ТСЗ;RDM_1806998794;Тюменская область, г Тюмень, ул Новгородская, д. 3, жилой дом ГП-3, 5 этап строительства;31.12.2021 0:00:00;31.12.2022 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СП № 1;RDM_0486177410;г. Петрозаводск, улица Суворова, 27, кадастровый номер земельного участка 10:01:0110151:149;31.03.2022 0:00:00;
ООО СЗ СК10 №5;RDM_1974381862;г.Ростов-на-Дону, пр. Сиверса, 30, жилой дом поз. 1.2. - 2 этапа строительства, кадастровый номер земельного участка 61:44:0051002:89;30.06.2022 0:00:00;
ООО СЗ ДОМ НА НАБЕРЕЖНОЙ;RDM_0855157174;г. Н. Новгород, Нижегородский район, в границах улиц Родионова, Северо-Восточная, жилой дом № 1 по генплану (I очередь строительства), кадастровый номер земельного участка 52:18:0060179:1679;30.06.2023 0:00:00;
ООО Специализированный застройщик - ГорСтрой;RDM_0423319780;Республика Башкортостан, город Уфа, Кировский район, ул. Кирова, кад. номер земельного участка 02:55:010131:686;31.03.2023 0:00:00;31.12.2021 0:00:00
ООО Максима;04474;"Российская Федерация, Ленинградская обл., Всеволожский муниципальный район, земли САОЗТ ""Ручьи"", Муринское городское поселение, город Мурино, пр-кт Авиаторов Балтики, д.25, корпус 7";31.12.2022 0:00:00;
ООО Максима;04474;Ленинградская обл., Всеволожский муниципальный район, Муринское городское поселение, город Мурино, пр-кт. Авиаторов Балтики, д.25, корпус 7;31.12.2022 0:00:00;
ООО ТСЗ;RDM_1806998794;Тюменская область, г Тюмень, ул Новгородская, д. 3, жилой дом ГП-3, 5 этап строительства;31.12.2021 0:00:00;31.12.2022 0:00:00
ООО СЗ ПОГОДА 3.4.;RDM_1275941388;Пермский край, г. Пермь, Мотовилихинский район, ул. Серебристая, д. 18;31.12.2023 0:00:00;
ООО Семья;04975;г. Краснодар, Прикубанский внутригородской округ, ул. Красных Партизан,  1/4, Литер 21;31.12.2021 0:00:00;31.03.2022 0:00:00
ООО СЗ Страна.Звездный;RDM_2902905210;Тюменская область, городской округ город Тюмень, город Тюмень, улица Тимофея Чаркова, дом 91, Жилой дом ГП-8;30.09.2023 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ДОГМА-САМОЛЁТ 3;RDM_2021533118;Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, Литер 1, кадастровый номер земельного участка  23:43:0106012:612;30.06.2023 0:00:00;
АО СЗ РЕМСТРОЙСЕРВИС;RDM_0635165817;г. Липецк, микрорайон «Елецкий», жилое здание II-19, кадастровый номер земельного участка 48:20:0010601:225;31.12.2021 0:00:00;
ООО СК КАМЕНКА;00951;г. Санкт-Петербург, Комендантский проспект, участок 1, (юго-западнее пересечения с рекой Каменкой), корпус 1, корпус 13.1, кадастровый номер земельного участка 78:34:0004281:11959;30.06.2023 0:00:00;
ООО СЗ СМУ88 ГРУПП;RDM_2487107756;Республика Татарстан, г. Казань, ул. Дубравная, 10, 12, 14, 28, 30, 36, ул. Абубекира Терегулова, 2 (дом 16А-19);31.03.2024 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЧАЙКОВСКОГО, 78;RDM_2119755645;: Свердловская область, г. Екатеринбург, ул. Авиационная, 2 этап строительства, кадастровый номер з/у 66:41:0501056:4433;31.03.2022 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ПИК-УРАЛ;RDM_4050877479;Свердловская область, г. Екатеринбург, пр. Космонавтов 11, корпус 4.1.;31.12.2022 0:00:00;30.06.2023 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК АСТОН. СОБЫТИЕ (ИНН 6658540172);RDM_1736094969;Свердловская область, г. Екатеринбург, ул. Амундсена, д.7, жилая секция С2 (№1 по ПЗУ), кадастровый номер земельного участка: 66:41:0000000:181368;31.03.2023 0:00:00;30.06.2023 0:00:00
ООО СЗ М-3 ГРУПП;RDM_1497494908;Красноярский край, город Красноярск, улица Ключевская, дом 63, Жилой дом № 2, кадастровый номер земельного участка 24:50:0700040:4521;31.12.2021 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СОДРУЖЕСТВО ИНВЕСТ;04426;Калининградская область, г. Калининград, улица Батальная, дом №3 по ГП (2 этап строительства), кадастровый номер земельного участка 39:15:000000:12805;31.12.2022 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК НОВЫЕ ГОРИЗОНТЫ;RDM_2912673828;Челябинская область, г. Челябинск, Центральный район, ул. Труда , дом (стр. № 4), 2-я очередь строительства, кадастровый номер земельного участка 74:36:0506002:50;31.12.2022 0:00:00;30.06.2023 0:00:00
ООО СЗ АТОМ-КЭ;RDM_2951639935;Свердловская  область,  г. Екатеринбург, ул. Даниловская, жилой дом (№4 по ПЗУ), на земельном участке с кадастровым номером 66:41:0108091:542;30.03.2023 0:00:00;
ООО АЛЬГЕБА;RDM_1976352310;Новосибирская область, г. Новосибирск, Октябрьский район, ул. Покатная, дом №4 (по генплану);31.03.2024 0:00:00;
ООО СЗ БАЙКАЛЬСКИЙ ДЕВЕЛОПМЕНТ;RDM_0894457717;Иркутская область, Иркутский р-н, д.Новолисиха, Микрорайон «Хрустальный парк», 11 км Байкальского тракта, 9-я очередь строительства (квартал «Австрийский»), дом 9-8.;31.12.2022 0:00:00;
ООО СЗ ТРЕСТ-12;RDM_1135847676;Челябинская область, г. Челябинск, район Калининский, ул. Университетская Набережная, д. 12, корпус 1, II очередь строительства;31.12.2022 0:00:00;
ООО СЗ ЛЕГИС;RDM_2840698720;Российская Федерация, Краснодарский край, Анапский район, ЗАО АФ Кавказ, с. Сукко, ул. Мирная, д. 9. Этап 2 – позиция 5А.  Кадастровый номер земельного участка 23:37:1006000:4856;31.03.2023 0:00:00;30.06.2023 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК МОСКОВКА-ДОМ4;RDM_2469876926;Российская Федерация, Омская область, городской округ город Омск, проспект Сибирский, дом 45;31.12.2022 0:00:00;31.03.2023 0:00:00
ООО РГ - ДЕВЕЛОПМЕНТ;RDM_0785156637;г.Москва, ул.Берзарина, владение 30, корп.3, земельный участок с кадастровым номером: 77:08:0011001:6851;30.06.2021 0:00:00;31.12.2021 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТРОМ;RDM_2492465341;г. Пермь, Дзержинский район, ул. Вагонная, 30, кадастровый номер земельного участка 59:01:1713559:4;31.12.2023 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СК ЛЕГИОН;05150;Челябинская обл., г. Челябинск, Центральный район, ул. Свободы, д. 77;31.12.2019 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГК ДОГМА;RDM_1440412404;Россия, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Западный обход, 39/2, литер 8 (БС3, БС4);31.12.2022 0:00:00;
АО Дон-Строй Инвест;;г. Москва, район Хорошево-Мневники, 3-й Силикатный проезд, вл.4, корп.2., строение 2;;
ООО СД Строй;RDM_1141741132;Новосибирская область, город Новосибирск, Калининский район, ул. Объединения, жилой дом № 1 (по генплану), блок-секции 1.5-1.8, I.2 этап строительства;30.06.2022 0:00:00;
ООО ТИРОН;;г. Москва, НАО, п. Московский, д. Саларьево, корп. 23;;
ООО КЛУБ ОТДЫХ;RDM_1797656093;Новосибирская область, г. Новосибирск, Калининский  район, ул. Богдана Хмельницкого, 21, III этап строительства, Корпус № 3;30.09.2022 0:00:00;
ООО Брусника. Специализированный Застройщик;00834;Свердловская обл., г. Екатеринбург, Ленинский район, жилая застройка по улицам Шаумяна-Чкалова-Переулок Воронежский-Громова, 3 очередь строительства. Жилой блок А9;31.03.2021 0:00:00;
ООО ИКАР;RDM_3468813678;Челябинская область , город Челябинск, Советский район, ул. Военный городок 18, жилой дом №1.3;30.06.2019 0:00:00;30.09.2019 0:00:00
ООО ПышмаСтройИнвест;945; Свердловская область, г. Верхняя Пышма, ул. Александра Козицына, 14;31.12.2019 0:00:00;
АО Мечелстрой;RDM_2610160894;Челябинская область, г. Челябинск, Металлургический район, переулок Прокатный 1-й, д.2,4 и переулок Прокатный 2-й, д.5, жилой дом 17.1 (стр.);30.09.2019 0:00:00;
АКЦИОНЕРНОЕ ОБЩЕСТВО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЮЖУРАЛСТРОЙСЕРВИС;RDM_2908964922;Челябинская область, г. Челябинск, Ленинский район, ул. Новороссийская, жилой комплекс «Новороссийский», дом 9-а (стр.), 2-й этап строительства;30.06.2022 0:00:00;30.06.2023 0:00:00
ООО Специализированный застройщик Альянс 1;RDM_1602131295;Республика Татарстан, город Казань, Авиастроительный район, улица Максимова, Блок 3;31.12.2021 0:00:00;30.03.2022 0:00:00
ОАО Строительная компания Челябинскгражданстрой;01501;Челябинская область, город Челябинск, Курчатовский район, в микрорайоне № 49-Б жилого района №11, Краснопольской площадки № 1, ул. Александра Шмакова, жилой дом №4 (стр.);30.06.2019 0:00:00;
ООО УМР-Инвест;RDM_4228499629;Челябинская обл., г. Челябинск, жилой дом №84  (шифр проекта: 16.01.56) по адресу: на пересечении ул. Энергетиков и ул. Ш.Руставелли в Ленинском районе;31.12.2018 0:00:00;
АО ЛСР. Недвижимость-Урал;;Свердловская область, г. Екатеринбург,  Верх-Исетский район, в границах улиц  Ландау – Екатерининская – Вавилова микрорайона Мичуринский, 8-ми секционный жилой дом  (№75 по ПЗУ);;
ООО СЗ МЕТЧЕЛСТРОЙ;RDM_1014316653;" Челябинская область, город Челябинск, Металлургический район, шоссе Металлургов, дом 6; дом № 11 (стр.), 1 этап";30.09.2021 0:00:00;
ООО ИНКО и К;05316;Тюменская обл., г. Тюмень, ул. Николая Федорова, дом 30, Жилой дом ГП-1;01.09.2018 0:00:00;
АО ЛСР. Недвижимость-Урал;1849;г. Екатеринбург, Кировский р-н, в границах улиц Блюхера - Данилы Зверева - Советская (№1 по ПЗУ);30.03.2019 0:00:00;
ООО ДОРОЖНО-ЭКСПЛУАТАЦИОННОЕ ПРЕДПРИЯТИЕ;05766;Тюменская область, Ханты-Мансийский автономный округ - Югра, г.Сургут, микрорайон 31Б, жилой дом №3;31.12.2017 0:00:00;30.09.2020 0:00:00
АО СЗ ПАРТНЕР-СТРОЙ;RDM_2110478642;Тюменская область, г. Тюмень, ул. Федюнинского, д. 30, корпус 8 (дом ГП-6);30.09.2022 0:00:00;
ОАО Строительная компания Челябинскгражданстрой;;Челябинская область, г. Челябинск, Курчатовский район, р-н №11, мкрн №49-Б, Краснопольская площадка №1, ул. Мусы Джалиля, жилой дом № 3 (стр.)(1 этап);;
ООО Управляющая компания Эфес;;Свердловская область, г. Екатеринбург, Кировский район, ул. Памирская, д.2-4, ул. Памирская, 8-10;;
ООО Арсенал и К;03998;Свердловская обл., г. Березовский, 60 м на восток от жилого дома по ул.Жильцова, 1, жилой дом №18;31.12.2018 0:00:00;
ООО УМР-Инвест;RDM_4228499629;Челябинская обл., г. Челябинск, жилой дом №84  (шифр проекта: 16.01.56) по адресу: на пересечении ул. Энергетиков и ул. Ш.Руставелли в Ленинском районе;31.12.2018 0:00:00;
ООО CЗ ТРЕСТ-31;RDM_3115360753;г. Челябинск, микрорайон II, жилой дом № 31 в в границах: ул. Братьев Кашириных, ул. Молодогвардейцев, набережная реки Миасс, ул. Чичерина в Калининском и Центральном районах, кадастровый номер земельного участка 74:36:0616001:12128;30.06.2022 0:00:00;
ООО СПЕЦЗАСТРОЙЩИК ЮИТ БАЛТЫМ;RDM_0883330821;Свердловская область, ГО Верхняя Пышма, с. Балтым - 2 очередь строительства. 4-13 этапы строительства. Пусковые комплексы 15-24. Пятнадцатый пусковой комплекс (ПК-15) ;30.06.2022 0:00:00;
АО СЗ ПАРТНЕР-СТРОЙ;RDM_2110478642;Тюменская область, г. Тюмень, ул. Федюнинского, д. 30, корпус 8 (дом ГП-6);30.09.2022 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК РЕПИНА;RDM_2054749454;Свердловская область, г. Екатеринбург (в границе улиц Репина-Заводская-Красноуфимская-Котельникова-пер. Ударников) - односекционный жилой дом (№ 1 по ПЗУ);31.12.2023 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК АТМОСФЕРА;RDM_1710339629;Свердловская область, город Екатеринбург, пр-кт Космонавтов, дом 26, жилой дом (№1 по ПЗУ);30.09.2022 0:00:00;
ООО Специализированный Застройщик Клевер Инвест;RDM_2623006074;Российская Федерация, Тюменская область, Тюменский район, Московское МО, 1 очередь, жилой дом ГП 2, з/у с кадастровым номером 72:17:1313004:15736;31.12.2021 0:00:00;
ООО СЗ АСК-НАРОДНОГО ФРОНТА;RDM_2839500494;Свердловская область, г. Екатеринбург, ул. Победы, жилой  дом  (№ № 2А, 2Б  по ПЗУ) строящийся на земельном участке с кадастровым номером 66:41:0106064:457 ;30.06.2022 0:00:00;31.03.2023 0:00:00
ООО СЗ СИБЭКОСТРОЙ;RDM_4114145047;г. Новосибирск, Октябрьский район, улица Рябиновая, 1 этап строительства, дом № 1 (по генплану) ;30.06.2023 0:00:00;
ООО ЭМСИ ИСТЕЙТ ИНВЕСТМЕНТ;RDM_3358680800;Санкт-Петербург, Московский проспект, участок 108, (у дома 83, литера Ю);31.03.2021 0:00:00;
ООО СЗ АСК-НАРОДНОГО ФРОНТА;RDM_2839500494;Свердловская область, г. Екатеринбург, ул. Победы, жилой  дом  (№ № 2А, 2Б  по ПЗУ) строящийся на земельном участке с кадастровым номером 66:41:0106064:457 ;30.06.2022 0:00:00;31.03.2023 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ПЕТРОКОМИНВЕСТ;RDM_1997924014;Пермский край, г. Пермь, Орджоникидзевский район, ул. Карбышева, д. 49а;31.12.2022 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГК ЭФЕС;963;Свердловская область, г. Екатеринбург, в квартале улиц Технической-Расточной-Строителей-Дружининской - 3 очередь строительства, кадастровый номер земельного участка 66:41:0204058:32;31.12.2021 0:00:00;
ООО СЗ КАМСКИЕ ОГНИ;RDM_3539360015;Пермский край, г. Пермь, Ленинский р-н, ул.Монастырская, 60;31.03.2023 0:00:00;
ООО Энергомонтаж;RDM_3468791485;Новосибирская область, Новосибирский район, МО Станционный сельсовет, Жилой район Приозерный, квартал №1, жилой дом № 4, этап 1;30.09.2022 0:00:00;
ООО СЗ КАМСКИЕ ОГНИ;RDM_3539360015;Пермский край, г. Пермь, Ленинский р-н, ул.Монастырская, 60;31.03.2023 0:00:00;
ООО СК ЖИЛИНДУСТРИЯ;RDM_1948652238;г. Москва, ЗАО, район Кунцево, вблизи Мякининской поймы, корпус 3;30.09.2022 0:00:00;
ООО СЗ СИБЭКОСТРОЙ;RDM_4114145047;г. Новосибирск, Октябрьский район, улица Рябиновая, 1 этап строительства, дом № 1 (по генплану) ;30.06.2023 0:00:00;
ООО СЗ МКРИСТАЛ;RDM_1659308368;Новосибирская область, г. Новосибирск, Калининский район, ул. Курчатова, Блок Б жилого дома № 1.2 (по генплану), кадастровый номер земельного участка 54:35:041115:202;30.09.2021 0:00:00;
ООО Красный проспект;RDM_2433314984;Новосибирская область, город Новосибирск, Заельцовский район, Красный Проспект, II этап строительства, блок-секция № 5,6;30.09.2021 0:00:00;
ООО СЗ МОТОВИЛИХИНСКИЙ 14;RDM_1778122955;г. Пермь, Мотовилихинский район, м/р Вышка-2, ул. Гашкова, д. 51 (1 очередь, 3 пусковой комплекс, позиция 14);31.12.2023 0:00:00;
ООО Спецзастройщик ЮИТ Урал-1;RDM_1097220080; Свердловская область, г.Екатеринбург, Железнодорожный район, ул.Стрелочников - пер.Транспортников, жилой дом (№ 1 по ПЗУ);31.12.2021 0:00:00;
ООО СЗ СИБЭКОСТРОЙ;RDM_4114145047;г. Новосибирск, Октябрьский район, улица Рябиновая, 1 этап строительства, дом № 1 (по генплану) ;30.06.2023 0:00:00;
ООО СЗ СИБЭКОСТРОЙ;RDM_4114145047;г. Новосибирск, Октябрьский район, улица Рябиновая, 1 этап строительства, дом № 1 (по генплану) ;30.06.2023 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК РЕПИНА;RDM_2054749454;Свердловская область, г. Екатеринбург (в границе улиц Репина-Заводская-Красноуфимская-Котельникова-пер. Ударников) - односекционный жилой дом (№ 1 по ПЗУ);31.12.2023 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК САМОЛЁТ-2;RDM_3381148105;Краснодарский край, г. Краснодар, ул. Западный Обход, уч. 57, Литер 3;30.06.2025 0:00:00;
ООО СЗ ВИРА-СТРОЙ-Н;RDM_0218389851;Новосибирская область, город Новосибирск, Дзержинский район, улица Заслонова, жилой дом № 10 (по генплану) - VI этап строительства;30.06.2021 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЕГСК-НЕДВИЖИМОСТЬ;RDM_1603311670;Свердловская область, г. Екатеринбург, бульвар Петра Кожемяко, 2 этап строительства, жилой дом (№ 4 по ПЗУ), на з/у с кадастровым номером 66:41:0000000:102854;30.06.2021 0:00:00;
ООО Новый город;01227;Красноярский край, г. Красноярск, Советский район, пер. Светлогорский, дом № 5\n;31.12.2023 0:00:00;
ООО ПРИНЦИП-ПРОСПЕКТ;RDM_0539694112;Свердловская обл., г. Екатеринбург, пр-т Ленина, дом 8, № ГП 1.1 по ПЗУ, секция 1;31.12.2021 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТРОМ;RDM_2492465341;Пермский край, г. Пермь, Индустриальный р-н, ул. Красных Командиров, 7;31.12.2022 0:00:00;
ЗАО ДЕДАЛ;RDM_4186492017;Пермский край, г. Пермь, Дзержинский район, ул. Екатерининская, 177а, Грузинская, 18;31.12.2021 0:00:00;
ООО Лексион Девелопмент;RDM_1794679677;г. Москва, п.Московский, д.Румянцево, вл. 17Е, Дом Д-1;30.06.2020 0:00:00;31.03.2021 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СТ-ШАФИЕВА;RDM_1025163968;Республика Башкортостан, городской округ город Уфа, Октябрьский район, ул. Шафиева, дом № 1, секция Б, кадастровый номер з/уч 02:55:020105:3011;30.09.2020 0:00:00;30.09.2021 0:00:00
ООО Расцветай на Маркса;RDM_3305432557;Новосибирская область, г. Новосибирск, Ленинский район, пр. Карла Маркса, многоквартирный многоэтажный дом №1 (по генплану), кадастровый номер земельного участка 54:35:064310:1972;31.12.2023 0:00:00;31.12.2022 0:00:00
ООО Биосфера;RDM_4166745310;Республика Башкортостан, г. Уфа, микрорайон 2, Жилой дом со встроенными предприятиями обслуживания и пристроенной подземной автостоянкой в жилом районе «Глумилино», Литер 5;12.09.2019 0:00:00;31.12.2020 0:00:00
ООО СЗ ГРАНДНЭКСТ;RDM_1319235527;г. Москва, ул. Лосиноостровская, вл. 45, корпус 3;30.06.2021 0:00:00;30.06.2023 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК СК ЛЕГИОН;;Российская Федерация, Челябинская область, город Челябинск, Центральный район, улица Академика Макеева, 34, жилой  дом  №  16 (стр.) ;;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ОРСО БИЛДИНГ;;Пермский край, г. Пермь, Индустриальный район, ул. Карпинского, 53а;;
ООО МЕГАПОЛИС ГРУП;RDM_2013285603;г. Москва, ЦАО, район Пресненский, Краснопресненская наб., вл.14, стр.1, корпус Б;01.09.2020 0:00:00;30.06.2023 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК АТМОСФЕРА;RDM_1710339629;Свердловская область, город Екатеринбург, пр-кт Космонавтов, дом 26, жилой дом (№1 по ПЗУ);30.09.2022 0:00:00;
ООО СЗ ГРАНДНЭКСТ;RDM_1319235527;г. Москва, ул. Лосиноостровская, вл. 45, корпус 1;30.06.2021 0:00:00;30.06.2023 0:00:00
ООО СЗ СИБЭКОСТРОЙ;RDM_4114145047;г. Новосибирск, Октябрьский район, улица Рябиновая, дом № 1 (по генплану) ;30.06.2023 0:00:00;
ООО Специализированный застройщик Краснообск. Монтажспецстрой;1904;Новосибирская область, г. Новосибирск, Калининский район, ул. 25 лет Октября, 2 этап строительства, жилой дом №2 (по генплану);31.12.2021 0:00:00;
ООО Стандарт сервис;04577;г. Кемерово Заводский район ул. Дружбы, дом 7;31.12.2020 0:00:00;30.06.2023 0:00:00
ООО МЖК ЭНЕРГЕТИК. СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК;RDM_2389702473;Новосибирская область, г. Новосибирск, Первомайский район, улица Заречная, дом 2 (по генплану), 2 этап строительства;31.03.2021 0:00:00;
